ts_code,trade_date,open,high,low,close,vol,amount,pct_chg
00981.HK,2026-03-30,50.5,51.7,49.32,51.4,79858927,4044725360.0,-2.1
00981.HK,2026-03-31,50.8,52.9,50.0,50.7,49238685,2517391872.0,-1.36
00981.HK,2026-04-01,52.75,53.65,51.9,52.85,62707381,3312618304.0,4.24
00981.HK,2026-04-02,52.85,52.85,50.05,51.0,65408563,3332648256.0,-3.5
00981.HK,2026-04-08,54.8,57.15,53.95,56.15,120792522,6718809856.0,10.1
00981.HK,2026-04-09,55.65,57.0,54.5,55.7,51135459,2865786352.0,-0.8
00981.HK,2026-04-10,57.0,59.6,56.9,58.25,104483042,6108620032.0,4.58
00981.HK,2026-04-13,57.4,58.2,56.6,57.15,41213698,2356011424.0,-1.89
00981.HK,2026-04-14,58.9,58.9,57.15,57.95,41751669,2421186112.0,1.4
00981.HK,2026-04-15,59.7,60.45,58.65,59.3,68304303,4065827552.0,2.33
00981.HK,2026-04-16,59.3,60.15,58.75,59.95,48238382,2873327856.0,1.1
00981.HK,2026-04-17,60.0,60.45,58.65,59.35,43292976,2572189056.0,-1.0
00981.HK,2026-04-20,60.0,60.95,58.8,59.8,56745504,3399472544.0,0.76
00981.HK,2026-04-21,60.3,60.4,59.3,60.1,35219004,2113292176.0,0.5
00981.HK,2026-04-22,59.6,60.15,58.45,59.3,59394935,3512661248.0,-1.33
00981.HK,2026-04-23,59.9,60.45,57.7,58.45,53658696,3153160576.0,-1.43
00981.HK,2026-04-24,57.7,65.3,57.65,64.3,197782770,12413152512.0,10.01
00981.HK,2026-04-27,67.2,69.95,66.55,68.25,174513759,11971408384.0,6.14
00981.HK,2026-04-28,68.7,68.9,65.3,66.05,95445464,6391136768.0,-3.22
00981.HK,2026-04-29,65.65,66.25,64.1,65.8,65251961,4257623648.0,-0.38
00981.HK,2026-04-30,66.35,71.7,66.0,70.9,168177459,11666287360.0,7.75
00981.HK,2026-05-04,72.0,74.65,72.0,72.15,39679795,2915603392.0,1.76
00981.HK,2026-05-05,71.3,71.9,70.1,70.8,17343650,1226803520.0,-1.87
00981.HK,2026-05-06,73.75,79.4,73.6,74.85,216090246,16500925952.0,5.72
00981.HK,2026-05-07,76.55,79.4,74.35,76.75,145130185,11133754624.0,2.54
00981.HK,2026-05-08,74.85,75.3,72.5,73.35,106496499,7803020544.0,-4.43
00981.HK,2026-05-11,75.65,77.85,75.55,76.6,110370158,8474024448.0,4.43
00981.HK,2026-05-12,77.95,78.0,73.4,76.6,99822983,7561507072.0,0.0
00981.HK,2026-05-13,74.35,75.2,72.1,74.15,86814246,6430596608.0,-3.2
00981.HK,2026-05-14,75.3,76.1,71.5,71.5,98394521,7186543616.0,-3.57
00981.HK,2026-05-15,73.9,76.65,70.75,71.15,156841011,11574741504.0,-0.49
00981.HK,2026-05-18,70.55,72.65,67.6,68.7,118961756,8304258560.0,-3.44
00981.HK,2026-05-19,67.95,69.4,65.2,68.5,119791532,8014464000.0,-0.29
00981.HK,2026-05-20,68.05,77.45,67.6,75.15,258516139,19218462464.0,9.71
00981.HK,2026-05-21,78.0,79.4,73.5,74.2,179007685,13771155200.0,-1.26
00981.HK,2026-05-22,76.85,80.1,73.6,79.85,212610930,16513887744.0,7.61
00981.HK,2026-05-26,91.8,93.0,84.1,84.4,371835952,32579806720.0,5.7
00981.HK,2026-05-27,86.0,89.45,83.15,85.2,192709679,16653965056.0,0.95
00981.HK,2026-05-28,84.95,92.5,84.3,88.25,264369889,23659568384.0,3.58
00981.HK,2026-05-29,88.5,89.65,80.8,81.6,214921589,18216477184.0,-7.54
00981.HK,2026-06-01,81.3,84.3,78.55,79.45,140374235,11359210496.0,-2.63
00981.HK,2026-06-02,79.85,83.4,79.15,81.95,104037549,8492422912.0,3.15
00981.HK,2026-06-03,83.05,85.8,81.9,82.95,111192799,9361647360.0,1.22
00981.HK,2026-06-04,81.65,84.75,80.0,81.5,100629284,8331977472.0,-1.75
00981.HK,2026-06-05,80.8,81.45,75.35,75.65,192990499,14927141376.0,-7.18
00981.HK,2026-06-08,73.0,76.1,71.15,72.55,140624827,10255443968.0,-4.1
00981.HK,2026-06-09,73.0,76.8,71.6,75.0,96331167,7189351424.0,3.38
00981.HK,2026-06-10,74.05,77.8,71.05,72.35,108384523,7967409152.0,-3.53
00981.HK,2026-06-11,72.3,73.55,70.5,73.3,80335506,5782299392.0,1.31
00981.HK,2026-06-12,75.55,77.0,71.3,71.65,101440814,7534475264.0,-2.25
00981.HK,2026-06-15,74.0,76.95,72.65,76.65,99265387,7521190400.0,6.98
00981.HK,2026-06-16,77.45,77.95,72.95,74.0,74473870,5588484352.0,-3.46
00981.HK,2026-06-17,73.0,76.5,72.4,75.75,97501973,7279235072.0,2.36
00981.HK,2026-06-18,76.1,79.45,73.75,76.5,203554119,15559425024.0,0.99
00981.HK,2026-06-22,78.8,82.4,77.15,78.9,171994651,13669507328.0,3.14
00981.HK,2026-06-23,79.2,84.1,76.5,77.85,182963530,14700757760.0,-1.33
00981.HK,2026-06-24,77.6,86.45,77.6,84.8,218098916,18241345024.0,8.93
00981.HK,2026-06-25,87.4,88.7,83.8,86.0,127969567,11048462080.0,1.42
00981.HK,2026-06-26,84.5,85.25,79.05,80.0,142920129,11608917760.0,-6.98
