date_str,tushare_close,tushare_vol,tushare_amount,akshare_raw_close,akshare_raw_vol,akshare_raw_amount,akshare_qfq_close,akshare_qfq_vol,akshare_qfq_amount,yfinance_close,yfinance_volume
2025-03-12,4.025,6092316.81,2456951.615,4.025,6092317,2456951615.0,3.814,6092317,2456951615.0,3.8365652561187744,609231681.0
2025-03-13,4.005,6410438.04,2572874.364,4.005,6410438,2572874364.0,3.794,6410438,2572874364.0,3.8175015449523926,641043804.0
2025-03-14,4.106,19037183.28,7767222.868,4.106,19037183,7767222868.0,3.895,19037183,7767222868.0,3.913772821426392,1903718328.0
2025-03-17,4.094,11330420.29,4647468.37,4.094,11330420,4647468370.0,3.883,11330420,4647468370.0,3.902334928512573,1133042029.0
2025-03-18,4.103,8114043.23,3329371.908,4.103,8114043,3329371908.0,3.892,8114043,3329371908.0,3.9109134674072266,811404323.0
2025-03-19,4.109,8798312.86,3609853.058,4.109,8798313,3609853058.0,3.898,8798313,3609853058.0,3.916632890701294,879831286.0
2025-03-20,4.076,8751425.61,3573521.339,4.076,8751426,3573521339.0,3.865,8751426,3573521339.0,3.8851778507232666,875142561.0
2025-03-21,4.01,10149156.77,4092584.085,4.01,10149157,4092584085.0,3.799,10149157,4092584085.0,3.822267770767212,1014915677.0
2025-03-24,4.027,7912220.86,3179823.658,4.027,7912221,3179823658.0,3.816,7912221,3179823658.0,3.8384716510772705,791222086.0
2025-03-25,4.029,6115316.44,2463223.975,4.029,6115316,2463223975.0,3.818,6115316,2463223975.0,3.840377807617187,611531644.0
2025-03-26,4.013,7742553.85,3114333.33,4.013,7742554,3114333330.0,3.802,7742554,3114333330.0,3.825126886367798,774255385.0
2025-03-27,4.027,8015251.64,3224972.886,4.027,8015252,3224972886.0,3.816,8015252,3224972886.0,3.8384716510772705,801525164.0
2025-03-28,4.008,7043047.91,2826192.921,4.008,7043048,2826192921.0,3.797,7043048,2826192921.0,3.8203608989715576,704304791.0
2025-03-31,3.984,9021728.63,3600807.135,3.984,9021729,3600807135.0,3.773,9021729,3600807135.0,3.797484397888184,902172863.0
2025-04-01,3.982,6150155.41,2452333.015,3.982,6150155,2452333015.0,3.771,6150155,2452333015.0,3.7955784797668457,615015541.0
2025-04-02,3.979,6291176.0,2505793.835,3.979,6291176,2505793835.0,3.768,6291176,2505793835.0,3.7927188873291016,629117600.0
